end_date,filed_date,Assets,Liabilities,StockholdersEquity
2019-12-31,2023-03-09,,,-36191000.0
2020-12-31,2021-09-24,963705000.0,670221000.0,
2020-12-31,2021-11-03,963705000.0,670221000.0,
2020-12-31,2022-03-10,963705000.0,670221000.0,
2020-12-31,2022-05-12,,,-26429000.0
2020-12-31,2022-08-09,,,-26429000.0
2020-12-31,2022-11-07,,,-26429000.0
2020-12-31,2023-03-09,,,-26429000.0
2020-12-31,2024-03-12,,,-26429000.0
2021-03-31,2022-05-12,,,-20416000.0
2021-03-31,2022-08-09,,,-20416000.0
2021-03-31,2022-11-07,,,-20416000.0
2021-06-30,2021-09-24,970350000.0,662801000.0,
2021-06-30,2022-08-09,,,-12310000.0
2021-06-30,2022-11-07,,,-12310000.0
2021-09-30,2021-11-03,1020166000.0,464778000.0,555388000.0
2021-09-30,2022-11-07,,,555388000.0
2021-12-31,2022-03-10,1025893000.0,469615000.0,556278000.0
2021-12-31,2022-05-12,1025893000.0,469615000.0,556278000.0
2021-12-31,2022-08-09,1025893000.0,469615000.0,556278000.0
2021-12-31,2022-11-07,1025893000.0,469615000.0,556278000.0
2021-12-31,2023-03-09,1025893000.0,469615000.0,556278000.0
2021-12-31,2023-05-02,,,556278000.0
2021-12-31,2023-08-04,,,556278000.0
2021-12-31,2023-11-03,,,556278000.0
2021-12-31,2024-03-12,,,556278000.0
2022-03-31,2022-05-12,1055190000.0,487335000.0,567855000.0
2022-03-31,2022-08-09,,,567855000.0
2022-03-31,2022-11-07,,,567855000.0
2022-03-31,2023-05-02,,,567855000.0
2022-03-31,2023-08-04,,,567855000.0
2022-03-31,2023-11-03,,,567855000.0
2022-06-30,2022-08-09,1058959000.0,482642000.0,576317000.0
2022-06-30,2022-11-07,,,576317000.0
2022-06-30,2023-08-04,,,576317000.0
2022-06-30,2023-11-03,,,576317000.0
2022-09-30,2022-11-07,1063999000.0,483506000.0,580493000.0
2022-09-30,2023-11-03,,,580493000.0
2022-12-31,2023-03-09,1059157000.0,480066000.0,579091000.0
2022-12-31,2023-05-02,1059157000.0,480066000.0,579091000.0
2022-12-31,2023-08-04,1059157000.0,480066000.0,579091000.0
2022-12-31,2023-11-03,1059157000.0,480066000.0,579091000.0
2022-12-31,2024-03-12,1059157000.0,480066000.0,579091000.0
2022-12-31,2024-05-08,,,579091000.0
2022-12-31,2024-08-08,,,579091000.0
2022-12-31,2024-11-07,,,579091000.0
2023-03-31,2023-05-02,1075806000.0,500367000.0,575439000.0
2023-03-31,2023-08-04,,,575439000.0
2023-03-31,2023-11-03,,,575439000.0
2023-03-31,2024-05-08,,,575439000.0
2023-03-31,2024-08-08,,,575439000.0
2023-03-31,2024-11-07,,,575439000.0
2023-06-30,2023-08-04,1066124000.0,488273000.0,577851000.0
2023-06-30,2023-11-03,,,577851000.0
2023-06-30,2024-08-08,,,577851000.0
2023-06-30,2024-11-07,,,577851000.0
2023-09-30,2023-11-03,1045317000.0,491551000.0,553766000.0
2023-09-30,2024-11-07,,,553766000.0
2023-12-31,2024-03-12,996251000.0,488004000.0,508247000.0
2023-12-31,2024-05-08,996251000.0,488004000.0,508247000.0
2023-12-31,2024-08-08,996251000.0,488004000.0,508247000.0
2023-12-31,2024-11-07,996251000.0,488004000.0,508247000.0
2024-03-31,2024-05-08,970500000.0,504167000.0,466333000.0
2024-03-31,2024-08-08,,,466333000.0
2024-03-31,2024-11-07,,,466333000.0
2024-06-30,2024-08-08,986936000.0,547400000.0,439536000.0
2024-06-30,2024-11-07,,,439536000.0
2024-09-30,2024-11-07,967943000.0,549621000.0,418322000.0
